"key","en","es","ar","de"
"beanie-interact_clothes-washing_machine","Wash the beanie.","Lava el gorro.","اغسل القبعة الصغيرة.","Wasche die Mütze."
"beanie-interact_clothes-you","Put on the beanie.","Ponte el gorro.","ارتدي القبعة الصغيرة.","Ziehe die Mütze an."
"bed-move_furniture-apartment","Move the bed into the apartment.","Mueve la cama al apartamento.","انقل السرير إلى الشقة.","Bringe das Bett in die Wohnung."
"books-store_small-backpack","Put the books in the backpack.","Meter los libros en la mochila.","ضع الكتب في حقيبة الظهر.","Packe die Bücher in den Rucksack."
"books-store_small-backpack__color__blue","Put the books in the blue backpack.","Poner los libros en la mochila azul.","ضع الكتب في حقيبة الظهر الزرقاء.","Lege die Bücher in den blauen Rucksack."
"books-store_small-box_opened","Put the books in the box.","Pon los libros en la caja.","ضع الكتب في الصندوق.","Lege die Bücher in die Schachtel."
"bottle-store_small-cupboard","Put the bottle in the cabinet.","Pon la botella en el armario.","ضع الزجاجة في الخزانة.","Lege die Flasche in den Schrank."
"box_closed-move_furniture-apartment","Put the box into the apartment.","Mete la caja en el apartamento.","ضع الصندوق في الشقة.","Bringe die Kiste in die Wohnung."
"bread-eat-you","Eat the bread.","Cómete el pan.","تناول الخبز.","Essen Sie das Brot."
"broccoli-put_in_bowl-bowl","Put the broccoli in the bowl.","Pon el brócoli en el bol.","ضع البروكلي في الوعاء.","Gib den Brokkoli in die Schüssel."
"broccoli-eat-you","Eat the broccoli.","Cómete el brócoli.","تناول البروكلي.","Iss den Brokkoli."
"brush-paint_in-notebook","Paint in the notebook.","Pinta en el cuaderno.","ارسم في الدفتر.","Male in das Notizbuch."
"brush-store_small-suitcase","Put the brush in the suitcase.","Pon el pincel en la maleta.","ضع الفرشاة في الحقيبة.","Lege den Pinsel in den Koffer."
"bus-drive_to-church","The bus goes to the church.","El autobús va a la iglesia.","تذهب الحافلة إلى الكنيسة.","Der Bus fährt zur Kirche."
"bus-drive_to-house","The bus goes to the house.","El autobús va a casa.","تذهب الحافلة إلى المنزل.","Der Bus fährt zum Haus."
"cake-eat-you","Eat the cake.","Cómete la tarta.","تناول الكعكة.","Essen Sie den Kuchen."
"camera-take_photo-giraffe","Take a photo of the giraffe.","Hazle una foto a la jirafa.","التقط صورة للزرافة.","Machen Sie ein Foto von der Giraffe."
"camera-take_photo-snake","Take a photo of the snake.","Hazle una foto a la serpiente.","التقط صورة للثعبان.","Machen Sie ein Foto von der Schlange."
"camera-take_photo-tortoise","Take a photo of the tortoise.","Hazle una foto a la tortuga.","التقط صورة للسلحفاة.","Machen Sie ein Foto von der Schildkröte."
"cap-interact_clothes-you","Put on the cap.","Ponte la gorra.","ارتدِ القبعة.","Setz die Mütze auf."
"car-drive_to-church","Drive to the church.","Conduce hasta la iglesia.","قُد إلى الكنيسة.","Fahre zur Kirche."
"car-drive_to-house","Drive to the house.","Conduce hasta la casa.","قُد السيارة إلى المنزل.","Fahren Sie zum Haus."
"car__color__black-drive_to-house","Park the car.","Aparca el coche.","أركن السيارة.","Parke das Auto."
"car_key-put_in_bowl-bowl","Put the car key in the bowl.","Pon la llave del coche en el cuenco.","ضع مفتاح السيارة في الوعاء.","Legen Sie den Autoschlüssel in die Schale."
"car_key-give-man","Give the car key to the man.","Dale la llave del coche al hombre.","أعط مفتاح السيارة للرجل.","Geben Sie den Autoschlüssel dem Mann."
"car_key-give-woman","Give the car key to the woman.","Dale la llave del coche a la mujer.","أعط مفتاح السيارة للمرأة.","Geben Sie den Autoschlüssel der Frau."
"car_key-give-you","Take the keys.","Coge las llaves.","خذ المفاتيح.","Nimm die Schlüssel."
"cat-store_medium-car","Put the cat in the car.","Mete el gato en el coche.","ضع القطة في السيارة.","Setzen Sie die Katze in das Auto."
"cat-store_medium-car__color__black","Put the cat in the black car.","Pon el gato en el coche negro.","ضع القطة في السيارة السوداء.","Setze die Katze in das schwarze Auto."
"cat__color__grey-store_medium-car","Put the grey cat in the car.","Pon el gato gris en el coche.","ضع القطة الرمادية في السيارة.","Setzen Sie die graue Katze in das Auto."
"cat__color__grey-store_medium-car__color__black","Put the grey cat in the black car.","Pon el gato gris en el coche negro.","ضع القطة الرمادية في السيارة السوداء.","Setzen Sie die graue Katze in das schwarze Auto."
"cat-store_medium-car__color__blue","Put the cat in the blue car.","Mete al gato en el coche azul.","ضع القطة في السيارة الزرقاء.","Setze die Katze in das blaue Auto."
"cat__color__grey-store_medium-car__color__blue","Put the grey cat in the blue car.","Mete al gato gris en el coche azul.","ضع القطة الرمادية في السيارة الزرقاء.","Setze die graue Katze in das blaue Auto."
"cat-store_medium-car__color__green","Put the cat in the green car.","Mete al gato en el coche verde.","ضع القطة في السيارة الخضراء.","Setze die Katze in das grüne Auto."
"cat__color__grey-store_medium-car__color__green","Put the grey cat in the green car.","Mete al gato gris en el coche verde.","ضع القطة الرمادية في السيارة الخضراء.","Stecke die graue Katze in das grüne Auto."
"cat-store_medium-car__color__orange","Put the cat in the orange car.","Sube al gato al coche naranja.","ضع القطة في السيارة البرتقالية.","Stecke die Katze in das orangefarbene Auto."
"cat__color__grey-store_medium-car__color__orange","Put the grey cat in the orange car.","Mete al gato gris en el coche naranja.","ضع القطة الرمادية في السيارة البرتقالية.","Stecke die graue Katze in das orangefarbene Auto."
"cat-store_medium-car__color__pink","Put the cat in the pink car.","Sube al gato al coche rosa.","ضع القطة في السيارة الوردية.","Stecke die Katze in das rosa Auto."
"cat__color__grey-store_medium-car__color__pink","Put the grey cat in the pink car.","Mete al gato gris en el coche rosa.","ضع القطة الرمادية في السيارة الوردية.","Stecke die graue Katze in das rosa Auto."
"cat-store_medium-car__color__purple","Put the cat in the purple car.","Sube al gato al coche morado.","ضع القطة في السيارة الأرجوانية.","Stecke die Katze in das lila Auto."
"cat__color__grey-store_medium-car__color__purple","Put the grey cat in the purple car.","Mete al gato gris en el coche morado.","ضع القطة الرمادية في السيارة الأرجوانية.","Stecke die graue Katze in das lila Auto."
"cat-store_medium-car__color__red","Put the cat in the red car.","Sube al gato al coche rojo.","ضع القطة في السيارة الحمراء.","Stecke die Katze in das rote Auto."
"cat__color__grey-store_medium-car__color__red","Put the grey cat in the red car.","Mete al gato gris en el coche rojo.","ضع القطة الرمادية في السيارة الحمراء.","Stecke die graue Katze in das rote Auto."
"cat-store_medium-car__color__silver","Put the cat in the silver car.","Sube al gato al coche plateado.","ضع القطة في السيارة الفضية.","Setze die Katze in das silberne Auto."
"cat__color__grey-store_medium-car__color__silver","Put the grey cat in the silver car.","Mete al gato gris en el coche plateado.","ضع القطة الرمادية في السيارة الفضية.","Stecke die graue Katze in das silberne Auto."
"cat-store_medium-car__color__white","Put the cat in the white car.","Sube al gato al coche blanco.","ضع القطة في السيارة البيضاء.","Stecke die Katze in das weiße Auto."
"cat__color__grey-store_medium-car__color__white","Put the grey cat in the white car.","Mete al gato gris en el coche blanco.","ضع القطة الرمادية في السيارة البيضاء.","Stecke die graue Katze in das weiße Auto."
"cat-store_medium-car__color__yellow","Put the cat in the yellow car.","Sube al gato al coche amarillo.","ضع القطة في السيارة الصفراء.","Stecke die Katze in das gelbe Auto."
"cat__color__grey-store_medium-car__color__yellow","Put the grey cat in the yellow car.","Mete al gato gris en el coche amarillo.","ضع القطة الرمادية في السيارة الصفراء.","Setze die graue Katze in das gelbe Auto."
"cat__color__brown-store_medium-car","Put the brown cat in the car.","Mete al gato marrón en el coche.","ضع القطة البنية في السيارة.","Setze die braune Katze in das Auto."
"cat__color__brown-store_medium-car__color__black","Put the brown cat in the black car.","Pon el gato marrón en el coche negro.","ضع القطة البنية في السيارة السوداء.","Setze die braune Katze in das schwarze Auto."
"cat__color__brown-store_medium-car__color__blue","Put the brown cat in the blue car.","Pon al gato marrón en el coche azul.","ضع القطة البنية في السيارة الزرقاء.","Setze die braune Katze in das blaue Auto."
"cat__color__brown-store_medium-car__color__green","Put the brown cat in the green car.","Pon al gato marrón en el coche verde.","ضع القطة البنية في السيارة الخضراء.","Stecke die braune Katze in das grüne Auto."
"cat__color__brown-store_medium-car__color__orange","Put the brown cat in the orange car.","Pon al gato marrón en el coche naranja.","ضع القطة البنية في السيارة البرتقالية.","Stecke die braune Katze in das orangefarbene Auto."
"cat__color__brown-store_medium-car__color__pink","Put the brown cat in the pink car.","Pon al gato marrón en el coche rosa.","ضع القطة البنية في السيارة الوردية.","Stecke die braune Katze in das rosa Auto."
"cat__color__brown-store_medium-car__color__purple","Put the brown cat in the purple car.","Pon al gato marrón en el coche morado.","ضع القطة البنية في السيارة البنفسجية.","Stecke die braune Katze in das lila Auto."
"cat__color__brown-store_medium-car__color__red","Put the brown cat in the red car.","Pon al gato marrón en el coche rojo.","ضع القطة البنية في السيارة الحمراء.","Stecke die braune Katze in das rote Auto."
"cat__color__brown-store_medium-car__color__silver","Put the brown cat in the silver car.","Pon al gato marrón en el coche plateado.","ضع القطة البنية في السيارة الفضية.","Stecke die braune Katze in das silberne Auto."
"cat__color__brown-store_medium-car__color__white","Put the brown cat in the white car.","Pon al gato marrón en el coche blanco.","ضع القطة البنية في السيارة البيضاء.","Stecke die braune Katze in das weiße Auto."
"cat__color__brown-store_medium-car__color__yellow","Put the brown cat in the yellow car.","Pon al gato marrón en el coche amarillo.","ضع القطة البنية في السيارة الصفراء.","Stecke die braune Katze in das gelbe Auto."
"cat__color__white-store_medium-car","Put the white cat in the car.","Pon al gato blanco en el coche.","ضع القطة البيضاء في السيارة.","Stecke die weiße Katze in das Auto."
"cat__color__white-store_medium-car__color__black","Put the white cat in the black car.","Pon al gato blanco en el coche negro.","ضع القطة البيضاء في السيارة السوداء.","Stecke die weiße Katze in das schwarze Auto."
"cat__color__white-store_medium-car__color__blue","Put the white cat in the blue car.","Pon al gato blanco en el coche azul.","ضع القطة البيضاء في السيارة الزرقاء.","Stecke die weiße Katze in das blaue Auto."
"cat__color__white-store_medium-car__color__green","Put the white cat in the green car.","Mete al gato blanco en el coche verde.","ضع القطة البيضاء في السيارة الخضراء.","Stecke die weiße Katze in das grüne Auto."
"cat__color__white-store_medium-car__color__orange","Put the white cat in the orange car.","Sube al gato blanco al coche naranja.","ضع القطة البيضاء في السيارة البرتقالية.","Stecke die weiße Katze in das orangefarbene Auto."
"cat__color__white-store_medium-car__color__pink","Put the white cat in the pink car.","Pon al gato blanco en el coche rosa.","ضع القطة البيضاء في السيارة الوردية.","Stecke die weiße Katze in das rosa Auto."
"cat__color__white-store_medium-car__color__purple","Put the white cat in the purple car.","Sube al gato blanco al coche morado.","ضع القطة البيضاء في السيارة البنفسجية.","Stecke die weiße Katze in das lila Auto."
"cat__color__white-store_medium-car__color__red","Put the white cat in the red car.","Pon al gato blanco en el coche rojo.","ضع القطة البيضاء في السيارة الحمراء.","Stecke die weiße Katze in das rote Auto."
"cat__color__white-store_medium-car__color__silver","Put the white cat in the silver car.","Sube al gato blanco en el coche plateado.","ضع القطة البيضاء في السيارة الفضية.","Stecke die weiße Katze in das silberne Auto."
"cat__color__white-store_medium-car__color__white","Put the white cat in the white car.","Pon al gato blanco en el coche blanco.","ضع القطة البيضاء في السيارة البيضاء.","Stecke die weiße Katze in das weiße Auto."
"cat__color__white-store_medium-car__color__yellow","Put the white cat in the yellow car.","Pon al gato blanco en el coche amarillo.","ضع القطة البيضاء في السيارة الصفراء.","Stecke die weiße Katze in das gelbe Auto."
"cat_food-feed-cat","Feed the cat.","Alimenta al gato.","أطعم القطة.","Füttere die Katze."
"cat_food-feed-cat__color__grey","Feed the grey cat.","Alimenta al gato gris.","أطعم القطة الرمادية.","Füttere die graue Katze."
"cat_food-feed-cat__color__brown","Feed the brown cat.","Alimenta al gato marrón.","أطعم القطة البنية.","Füttere die braune Katze."
"cat_food-feed-cat__color__white","Feed the white cat.","Alimenta al gato blanco.","أطعم القطة البيضاء.","Füttere die weiße Katze."
"cat_food-feed-cat__color__black_white","Feed the black and white cat.","Alimenta al gato blanco y negro.","أطعم القطة السوداء والبيضاء.","Füttere die schwarz-weiße Katze."
"cat_food-feed-dog","Feed the dog.","Alimenta al perro.","أطعم الكلب.","Füttere den Hund."
"cat_food-feed-dog__size__big","Feed the big dog.","Alimenta al perro grande.","أطعم الكلب الكبير.","Füttere den großen Hund."
"cat_food-feed-dog__size__small","Feed the small dog.","Alimenta al perro pequeño.","أطعم الكلب الصغير.","Füttere den kleinen Hund."
"clock-move_furniture-apartment","Move the clock into the apartment.","Mueve el reloj al apartamento.","انقل الساعة إلى الشقة.","Bringe die Uhr in die Wohnung."
"coat_hanging-interact_clothes-coat_rack","Hang up the coat.","Colgar el abrigo.","علّق المعطف.","Hänge den Mantel auf."
"coat_hanging-interact_clothes-washing_machine","Wash the coat.","Lavar el abrigo.","اغسل المعطف.","Wasche den Mantel."
"coconut-eat-you","Eat the coconut.","Comer el coco.","تناول جوز الهند.","Iss die Kokosnuss."
"comb-comb-you","Comb your hair.","Peinarse.","مشطي شعرك.","Kämme dein Haar."
"cup_coffee-drink-you","Drink the coffee.","Bébete el café.","اشرب القهوة.","Trinke den Kaffee."
"cupboard-move_furniture-apartment","Move the cabinet into the apartment.","Mueve el armario al apartamento.","انقل الخزانة إلى الشقة.","Bringe den Schrank in die Wohnung."
"doll-give-boy","Give the doll to the boy.","Dale la muñeca al niño.","أعطِ الدمية للصبي.","Gib die Puppe dem Jungen."
"doll-give-sisters","Give the doll to the sisters.","Entrega la muñeca a las hermanas.","أعطِ الدمية للأختين.","Gib die Puppe den Schwestern."
"dress-interact_clothes-clothes_line","Hang the dress on the clothesline.","Cuelga el vestido en el tendedero.","علقي الفستان على حبل الغسيل.","Hängen Sie das Kleid auf die Wäscheleine."
"dress-interact_clothes-washing_machine","Wash the dress.","Lava el vestido.","اغسل الفستان.","Waschen Sie das Kleid."
"family-go_to-house","The family goes into the house.","La familia entra en casa.","تذهب العائلة إلى المنزل.","Die Familie geht ins Haus."
"fan-store_medium-car","Put the fan in the car.","Poner el ventilador en el coche.","ضع المروحة في السيارة.","Den Ventilator ins Auto stellen."
"gelato-eat-you","Eat the ice cream.","Cómete el helado.","تناول الآيس كريم.","Essen Sie das Eis."
"glass-store_small-box_opened","Put the glass in the box.","Pon el vaso en la caja.","ضع الكأس في الصندوق.","Stellen Sie das Glas in die Schachtel."
"glass-store_small-cupboard","Put the glass in the cupboard.","Pon el vaso en el armario.","ضع الكأس في الخزانة.","Stellen Sie das Glas in den Schrank."
"glasses-put_on_accessoire-you","Put on the glasses.","Ponte las gafas.","ضع الكأس في الكوب.","Setzen Sie die Gläser auf."
"globe-move_furniture-apartment","Put the globe in the apartment.","Pon el globo en el apartamento.","ضع الكرة الأرضية في الشقة.","Stellen Sie den Globus in die Wohnung."
"hair_brush-brush-woman__hair__brunette","The brunette woman brushes her hair.","La mujer morena se cepilla el pelo.","المرأة السمراء تمشط شعرها.","Die brünette Frau bürstet sich die Haare."
"hair_brush-brush-woman__hair__blonde","The blonde woman brushes her hair.","La mujer rubia se cepilla el pelo.","المرأة الشقراء تمشط شعرها.","Die blonde Frau bürstet sich die Haare."
"hair_dryer-dry_hair-man","The man dries his hair.","El hombre se seca el pelo.","الرجل يجفف شعره.","Der Mann föhnt sich die Haare."
"hair_dryer-store_small-suitcase","Put the hair dryer in the suitcase.","Pon el secador de pelo en la maleta.","ضع مجفف الشعر في الحقيبة.","Legen Sie den Haartrockner in den Koffer."
"hair_dryer-store_small-suitcase__color__white","Put the hair dryer in the white suitcase.","Pon el secador en la maleta blanca.","ضع مجفف الشعر في الحقيبة البيضاء.","Legen Sie den Haartrockner in den weißen Koffer."
"hair_dryer-store_small-suitcase__color__blue","Put the hair dryer in the blue suitcase.","Mete el secador en la maleta azul.","ضع مجفف الشعر في الحقيبة الزرقاء.","Legen Sie den Haartrockner in den blauen Koffer."
"hammer-give-woman","Give the hammer to the woman.","Dale el martillo a la mujer.","أعط المطرقة للمرأة.","Geben Sie der Frau den Hammer."
"hammer-give-you","Take the hammer.","Coge el martillo.","خذ المطرقة.","Nehmen Sie den Hammer."
"hand_pull-peel-banana","Peel the banana.","Pela el plátano.","قشّر الموزة.","Schäle die Banane."
"hand_pull-pull-box_closed","Open the box.","Abre la caja.","افتح الصندوق.","Öffne die Schachtel."
"hand_pull-pet-cat","Pet the cat.","Acariciar al gato.","داعب القطة.","Streichle die Katze."
"hand_pull-pet-cat__color__grey","Pet the grey cat.","Acaricia al gato gris.","داعب القطة الرمادية.","Streichle die graue Katze."
"hand_pull-pet-cat__color__brown","Pet the brown cat.","Acaricia al gato marrón.","داعب القطة البنية.","Streichle die braune Katze."
"hand_pull-pet-cat__color__white","Pet the white cat.","Acaricia al gato blanco.","داعب القطة البيضاء.","Streichle die weiße Katze."
"hand_pull-pet-cat__color__black_white","Pet the black and white cat.","Acaricia al gato blanco y negro.","داعب القطة السوداء والبيضاء.","Streichle die schwarz-weiße Katze."
"hand_pull-pet-dog","Pet the dog.","Acaricia al perro.","داعب الكلب.","Streichle den Hund."
"hand_pull-pet-dog__size__big","Pet the big dog.","Acaricia al perro grande.","داعب الكلب الكبير.","Streichle den großen Hund."
"hand_pull-pet-dog__size__small","Pet the small dog.","Acaricia al perro pequeño.","داعب الكلب الصغير.","Streichle den kleinen Hund."
"hand_pull-pull-door_red_open","Close the door.","Cierra la puerta.","أغلق الباب.","Schließe die Tür."
"hand_pull-pull-mustang_closed","Open the car door.","Abre la puerta del coche.","افتح باب السيارة.","Öffne die Autotür."
"hand_push-push-box_opened","Close the box.","Cierra la caja.","أغلق الصندوق.","Schließe die Schachtel."
"hand_push-push_open-door_red_closed","Open the door.","Abre la puerta.","افتح الباب.","Öffne die Tür."
"hand_push-push-mustang_open","Close the car door.","Cierra la puerta del coche.","أغلق باب السيارة.","Schließe die Autotür."
"hat-give-boy","Give the hat to the boy.","Dale el sombrero al niño.","أعط القبعة للصبي.","Gib den Hut dem Jungen."
"hat-interact_clothes-coat_rack","Hang up the hat.","Cuelga el sombrero.","علّق القبعة.","Hängen Sie den Hut auf."
"hat-give-woman","Give the woman the hat.","Dale el sombrero a la mujer.","أعط المرأة القبعة.","Geben Sie der Frau den Hut."
"hat-interact_clothes-you","Put on the hat.","Ponte el sombrero.","ارتدي القبعة.","Setze den Hut auf."
"hat-give-you","Take the hat.","Coge el sombrero.","خذ القبعة.","Nimm die Mütze."
"honeymelon-store_small-shopping_cart","Put the honeydew melon in the shopping cart.","Pon el melón en el carro de la compra.","ضع البطيخة في عربة التسوق.","Lege die Honigmelone in den Einkaufswagen."
"honeymelon-eat-you","Eat the honeydew melon.","Cómete el melón.","تناول البطيخة العسلية.","Essen Sie die Honigmelone."
"jam-store_small-cupboard","Put the jam in the cabinet.","Pon la mermelada en el armario.","ضع المربى في الخزانة.","Legen Sie die Marmelade in den Schrank."
"jam-store_small-shopping_cart","Put the jam in the shopping cart.","Pon la mermelada en el carro de la compra.","ضع المربى في عربة التسوق.","Lege die Marmelade in den Einkaufswagen."
"jeans-interact_clothes-clothes_line","Hang the jeans on the clothesline.","Cuelga los vaqueros en el tendedero.","علّق الجينز على حبل الغسيل.","Hängen Sie die Jeans auf die Wäscheleine."
"jeans__color__dark_blue-interact_clothes-clothes_line","Hang the dark blue jeans on the clothesline.","Cuelga los vaqueros azul oscuro en el tendedero.","علِّق الجينز الأزرق الداكن على حبل الغسيل.","Hängen Sie die dunkelblaue Jeans auf die Wäscheleine."
"jeans-interact_clothes-washing_machine","Wash the jeans. ","Lava los vaqueros. ","اغسل الجينز. ","Wasche die Jeans. "
"jeans__color__dark_blue-interact_clothes-washing_machine","Wash the dark blue jeans.","Lava los vaqueros azul oscuro.","اغسل الجينز الأزرق الداكن.","Wasche die dunkelblaue Jeans."
"jeans-interact_clothes-you","Put on the jeans.","Ponte los vaqueros.","ارتدي الجينز.","Ziehe die Jeans an."
"jeans__color__dark_blue-interact_clothes-you","Put on the dark blue jeans.","Ponte los vaqueros azul oscuro.","ارتدي الجينز الأزرق الداكن.","Ziehen Sie die dunkelblaue Jeans an."
"jeans__color__light_blue-interact_clothes-clothes_line","Hang the light blue jeans on the clothesline.","Cuelga los vaqueros azul claro en el tendedero.","علّق الجينز الأزرق الفاتح على حبل الغسيل.","Hängen Sie die hellblaue Jeans auf die Wäscheleine."
"jeans__color__light_blue-interact_clothes-washing_machine","Wash the light blue jeans.","Lava los vaqueros azul claro.","اغسل الجينز الأزرق الفاتح.","Wasche die hellblaue Jeans."
"jeans__color__light_blue-interact_clothes-you","Put on the light blue jeans.","Ponte los vaqueros azul claro.","ارتدي الجينز الأزرق الفاتح.","Ziehen Sie die hellblaue Jeans an."
"key-give-man","Give the man the key.","Dale la llave al hombre.","أعط المفتاح للرجل.","Geben Sie dem Mann den Schlüssel."
"key-give-woman","Give the woman the key.","Dale la llave a la mujer.","أعط المرأة المفتاح.","Geben Sie der Frau den Schlüssel."
"kiwi-put_in_bowl-bowl","Put the kiwi in the bowl.","Poner el kiwi en el bol.","ضع الكيوي في الوعاء.","Legen Sie die Kiwi in die Schüssel."
"kiwi-store_small-shopping_cart","Put the kiwi in the shopping cart.","Pon el kiwi en el carro de la compra.","ضع الكيوي في عربة التسوق.","Lege die Kiwi in den Einkaufswagen."
"kiwi-eat-you","Eat the kiwi.","Cómete el kiwi.","تناول الكيوي.","Iss die Kiwi."
"knife-cut-apple","Cut the apple.","Corta la manzana.","قطع التفاحة.","Schneide den Apfel."
"knife-cut-avocado","Cut the avocado.","Corta el aguacate.","قطع الأفوكادو.","Schneiden Sie die Avocado."
"knife-give-boy","Give the knife to the boy.","Dale el cuchillo al niño.","أعط السكين للولد.","Gib das Messer dem Jungen."
"knife-cut-broccoli","Cut the broccoli.","Corta el brócoli.","اقطع البروكلي.","Schneide den Brokkoli."
"knife-give-brothers","Give the knife to the brothers.","Dale el cuchillo a los hermanos.","أعط السكين للأخوين.","Gib das Messer den Brüdern."
"knife-give-couple","Give the knife to the couple.","Dale el cuchillo a la pareja.","أعط السكين للزوجين.","Gib das Messer dem Paar."
"knife-give-family","Give the knife to the family.","Dale el cuchillo a la familia.","أعط السكين للعائلة.","Geben Sie das Messer der Familie."
"knife-give-father_son","Give the knife to the father and son.","Dale el cuchillo al padre y al hijo.","أعط السكين للأب والابن.","Geben Sie das Messer dem Vater und dem Sohn."
"knife-cut-honeymelon","Cut the honeydew melon.","Corta el melón dulce.","قطع البطيخ بالعسل.","Schneiden Sie die Honigmelone."
"knife-cut-kiwi","Cut the kiwi.","Corta el kiwi.","اقطع الكيوي.","Schneide die Kiwi."
"knife-cut-lemon","Cut the lemon.","Corta el limón.","اقطع الليمون.","Schneiden Sie die Zitrone."
"knife-give-man","Give the man the knife.","Dale el cuchillo al hombre.","أعط السكين للرجل.","Gib dem Mann das Messer."
"knife-cut-mango","Cut the mango.","Corta el mango.","اقطع المانجو.","Schneide die Mango."
"knife-cut-melon_whole","Cut the melon.","Corta el melón.","قطع البطيخ.","Schneide die Melone."
"knife-cut-onion","Cut the onion.","Corta la cebolla.","اقطع البصل.","Schneide die Zwiebel."
"knife-give-you","Take the knife.","Coge el cuchillo.","خذ السكين.","Nimm das Messer."
"kufiyyeh-interact_clothes-clothes_line","Hang the keffiyeh on the clothesline.","Cuelga el keffiyeh en el tendedero.","علّق الكوفية على حبل الغسيل.","Hänge die Keffiyeh auf die Wäscheleine."
"kufiyyeh-interact_clothes-washing_machine","Wash the keffiyeh.","Lava el keffiyeh.","اغسل الكوفية.","Wasche die Keffiyeh."
"laptop-give-woman","Give the woman the laptop.","Dale el portátil a la mujer.","أعطِ المرأة الحاسوب المحمول.","Gib der Frau den Laptop."
"lemon-put_in_bowl-bowl","Put the lemon in the bowl.","Pon el limón en el bol.","ضع الليمون في الوعاء.","Lege die Zitrone in die Schüssel."
"lemon-store_small-shopping_cart","Put the lemon in the shopping cart.","Pon el limón en el carro de la compra.","ضع الليمون في عربة التسوق.","Lege die Zitrone in den Einkaufswagen."
"mango-put_in_bowl-bowl","Put the mango in the bowl.","Pon el mango en el bol.","ضع المانجو في الوعاء.","Lege die Mango in die Schüssel."
"mango-eat-you","Eat the mango.","Cómete el mango.","تناول المانجو.","Essen Sie die Mango."
"melon_whole-store_small-shopping_cart","Put the melon in the shopping cart.","Pon el melón en el carro de la compra.","ضع البطيخ في عربة التسوق.","Lege die Melone in den Einkaufswagen."
"notebook-store_small-box_opened","Put the notebook in the box.","Pon el cuaderno en la caja.","ضع الدفتر في الصندوق.","Lege das Notizbuch in die Schachtel."
"nutcracker-crack_nut-walnut","Crack the walnut.","Rompe la nuez.","اكسر الجوز.","Knacke die Walnuss."
"onion-put_in_bowl-bowl","Put the onion in the bowl.","Pon la cebolla en el bol.","ضع البصل في الوعاء.","Lege die Zwiebel in die Schüssel."
"pear-store_small-backpack","Put the pear in the backpack.","Pon la pera en la mochila.","ضع الكمثرى في حقيبة الظهر.","Lege die Birne in den Rucksack."
"pear-eat-you","Eat the pear.","Cómete la pera.","تناول الكمثرى.","Iss die Birne."
"pencil-write-notebook","Write in the notebook.","Escribe en el cuaderno.","اكتب في الدفتر.","Schreibe in das Notizbuch."
"phone-give-brothers","Give the brothers the phone.","Dale el teléfono a los hermanos.","أعط الهاتف للإخوة.","Gib den Brüdern das Telefon."
"phone-give-couple","Give the family the phone.","Dale el teléfono a la familia.","أعط الهاتف للعائلة.","Geben Sie der Familie das Telefon."
"piano-move_furniture-apartment","Move the piano into the apartment.","Mueve el piano al apartamento.","انقل البيانو إلى الشقة.","Bringen Sie das Klavier in die Wohnung."
"pillow-put_in_bedding-bed","Put the pillow on the bed.","Pon la almohada en la cama.","ضع الوسادة على السرير.","Lege das Kissen auf das Bett."
"pineapple-store_small-shopping_cart","Put the pineapple in the shopping cart.","Pon la piña en el carro de la compra.","ضع الأناناس في عربة التسوق.","Lege die Ananas in den Einkaufswagen."
"pizza-eat-you","Eat the pizza.","Cómete la pizza.","تناول البيتزا.","Iss die Pizza."
"pot_cactus-move_furniture-apartment","Put the cactus in the apartment.","Pon el cactus en el apartamento.","ضع الصبار في الشقة.","Stellen Sie den Kaktus in die Wohnung."
"pot_flower-move_furniture-apartment","Put the flower in the apartment.","Pon la flor en el apartamento.","ضع الزهرة في الشقة.","Stellen Sie die Blume in die Wohnung."
"pot_plant-move_furniture-apartment","Put the potted plant in the apartment.","Pon la maceta en el apartamento.","ضع أصيص النبات في الشقة.","Stellen Sie die Topfpflanze in die Wohnung."
"ring-give-couple","Give the couple the ring.","Dale el anillo a la pareja.","أعطِ الزوجين الخاتم.","Geben Sie dem Paar den Ring."
"ring-put_on_accessoire-you","Put on the ring.","Ponte el anillo.","ضع الخاتم.","Ziehen Sie den Ring an."
"shirt-store_small-backpack__color__blue","Put the shirt in the blue backpack.","Pon la camisa en la mochila azul.","ضع القميص في حقيبة الظهر الزرقاء.","Lege das Hemd in den blauen Rucksack."
"shirt-store_small-box_opened","Put the shirt in the box.","Pon la camisa en la caja.","ضع القميص في الصندوق.","Lege das Hemd in die Schachtel."
"shirt-interact_clothes-clothes_line","Hang the shirt on the clothesline.","Cuelga la camisa en el tendedero.","علق القميص على حبل الغسيل.","Hängen Sie das Hemd auf die Wäscheleine."
"shirt-store_small-suitcase__color__blue","Put the shirt in the blue suitcase.","Mete la camisa en la maleta azul.","ضع القميص في الحقيبة الزرقاء.","Lege das Hemd in den blauen Koffer."
"shirt-interact_clothes-washing_machine","Wash the shirt.","Lava la camisa.","اغسل القميص.","Wasche das Hemd."
"shirt-interact_clothes-you","Put on the shirt.","Ponte la camisa.","ارتدِ القميص.","Ziehe das Hemd an."
"shoes-store_small-suitcase","Put the shoes in the suitcase.","Mete los zapatos en la maleta.","ضع الحذاء في الحقيبة.","Lege die Schuhe in den Koffer."
