"key","en","ar","de"
"cat__color__grey-store_medium-car__color__silver","Put the grey cat in the silver car.","ضع القطة الرمادية في السيارة الفضية.","Stecke die graue Katze in das silberne Auto."
"cat-store_medium-car__color__white","Put the cat in the white car.","ضع القطة في السيارة البيضاء.","Stecke die Katze in das weiße Auto."
"cat__color__grey-store_medium-car__color__white","Put the grey cat in the white car.","ضع القطة الرمادية في السيارة البيضاء.","Stecke die graue Katze in das weiße Auto."
"cat-store_medium-car__color__yellow","Put the cat in the yellow car.","ضع القطة في السيارة الصفراء.","Stecke die Katze in das gelbe Auto."
"cat__color__grey-store_medium-car__color__yellow","Put the grey cat in the yellow car.","ضع القطة الرمادية في السيارة الصفراء.","Setze die graue Katze in das gelbe Auto."
"cat__color__brown-store_medium-car","Put the brown cat in the car.","ضع القطة البنية في السيارة.","Setze die braune Katze in das Auto."
"cat__color__brown-store_medium-car__color__black","Put the brown cat in the black car.","ضع القطة البنية في السيارة السوداء.","Setze die braune Katze in das schwarze Auto."
"cat__color__brown-store_medium-car__color__blue","Put the brown cat in the blue car.","ضع القطة البنية في السيارة الزرقاء.","Setze die braune Katze in das blaue Auto."
"cat__color__brown-store_medium-car__color__green","Put the brown cat in the green car.","ضع القطة البنية في السيارة الخضراء.","Stecke die braune Katze in das grüne Auto."
"cat__color__brown-store_medium-car__color__orange","Put the brown cat in the orange car.","ضع القطة البنية في السيارة البرتقالية.","Stecke die braune Katze in das orangefarbene Auto."
"cat__color__brown-store_medium-car__color__pink","Put the brown cat in the pink car.","ضع القطة البنية في السيارة الوردية.","Stecke die braune Katze in das rosa Auto."
"cat__color__brown-store_medium-car__color__purple","Put the brown cat in the purple car.","ضع القطة البنية في السيارة البنفسجية.","Stecke die braune Katze in das lila Auto."
"cat__color__brown-store_medium-car__color__red","Put the brown cat in the red car.","ضع القطة البنية في السيارة الحمراء.","Stecke die braune Katze in das rote Auto."
"cat__color__brown-store_medium-car__color__silver","Put the brown cat in the silver car.","ضع القطة البنية في السيارة الفضية.","Stecke die braune Katze in das silberne Auto."
"cat__color__brown-store_medium-car__color__white","Put the brown cat in the white car.","ضع القطة البنية في السيارة البيضاء.","Stecke die braune Katze in das weiße Auto."
"cat__color__brown-store_medium-car__color__yellow","Put the brown cat in the yellow car.","ضع القطة البنية في السيارة الصفراء.","Stecke die braune Katze in das gelbe Auto."
"cat__color__white-store_medium-car","Put the white cat in the car.","ضع القطة البيضاء في السيارة.","Stecke die weiße Katze in das Auto."
"cat__color__white-store_medium-car__color__black","Put the white cat in the black car.","ضع القطة البيضاء في السيارة السوداء.","Stecke die weiße Katze in das schwarze Auto."
"cat__color__white-store_medium-car__color__blue","Put the white cat in the blue car.","ضع القطة البيضاء في السيارة الزرقاء.","Stecke die weiße Katze in das blaue Auto."
"cat__color__white-store_medium-car__color__green","Put the white cat in the green car.","ضع القطة البيضاء في السيارة الخضراء.","Stecke die weiße Katze in das grüne Auto."
"cat__color__white-store_medium-car__color__orange","Put the white cat in the orange car.","ضع القطة البيضاء في السيارة البرتقالية.","Stecke die weiße Katze in das orangefarbene Auto."
"cat__color__white-store_medium-car__color__pink","Put the white cat in the pink car.","ضع القطة البيضاء في السيارة الوردية.","Stecke die weiße Katze in das rosa Auto."
"cat__color__white-store_medium-car__color__purple","Put the white cat in the purple car.","ضع القطة البيضاء في السيارة البنفسجية.","Stecke die weiße Katze in das lila Auto."
"cat__color__white-store_medium-car__color__red","Put the white cat in the red car.","ضع القطة البيضاء في السيارة الحمراء.","Stecke die weiße Katze in das rote Auto."
"cat__color__white-store_medium-car__color__silver","Put the white cat in the silver car.","ضع القطة البيضاء في السيارة الفضية.","Stecke die weiße Katze in das silberne Auto."
"cat__color__white-store_medium-car__color__white","Put the white cat in the white car.","ضع القطة البيضاء في السيارة البيضاء.","Stecke die weiße Katze in das weiße Auto."
"cat__color__white-store_medium-car__color__yellow","Put the white cat in the yellow car.","ضع القطة البيضاء في السيارة الصفراء.","Stecke die weiße Katze in das gelbe Auto."
"cat_food-feed-cat","Feed the cat.","أطعم القطة.","Füttere die Katze."
"cat_food-feed-cat__color__grey","Feed the grey cat.","أطعم القطة الرمادية.","Füttere die graue Katze."
"cat_food-feed-cat__color__brown","Feed the brown cat.","أطعم القطة البنية.","Füttere die braune Katze."
"cat_food-feed-cat__color__white","Feed the white cat.","أطعم القطة البيضاء.","Füttere die weiße Katze."
"cat_food-feed-cat__color__black_white","Feed the black and white cat.","أطعم القطة السوداء والبيضاء.","Füttere die schwarz-weiße Katze."
"cat_food-feed-dog","Feed the dog.","أطعم الكلب.","Füttere den Hund."
"cat_food-feed-dog__size__big","Feed the big dog.","أطعم الكلب الكبير.","Füttere den großen Hund."
"cat_food-feed-dog__size__small","Feed the small dog.","أطعم الكلب الصغير.","Füttere den kleinen Hund."
"clock-move_furniture-apartment","Move the clock into the apartment.","انقل الساعة إلى الشقة.","Bringe die Uhr in die Wohnung."
"coat_hanging-interact_clothes-coat_rack","Hang up the coat.","علّق المعطف.","Hänge den Mantel auf."
"coat_hanging-interact_clothes-washing_machine","Wash the coat.","اغسل المعطف.","Wasche den Mantel."
"coconut-eat-you","Eat the coconut.","تناول جوز الهند.","Iss die Kokosnuss."
"comb-comb-you","Comb your hair.","مشطي شعرك.","Kämme dein Haar."
"cup_coffee-drink-you","Drink the coffee.","اشرب القهوة.","Trinke den Kaffee."
"cupboard-move_furniture-apartment","Move the cabinet into the apartment.","انقل الخزانة إلى الشقة.","Bringe den Schrank in die Wohnung."
"doll-give-boy","Give the doll to the boy.","أعطِ الدمية للصبي.","Gib die Puppe dem Jungen."
"doll-give-sisters","Give the doll to the sisters.","أعطِ الدمية للأختين.","Gib die Puppe den Schwestern."
"dress-interact_clothes-clothes_line","Hang the dress on the clothesline.","علقي الفستان على حبل الغسيل.","Hängen Sie das Kleid auf die Wäscheleine."
"dress-interact_clothes-washing_machine","Wash the dress.","اغسل الفستان.","Waschen Sie das Kleid."
"family-go_to-house","The family goes into the house.","تذهب العائلة إلى المنزل.","Die Familie geht ins Haus."
"fan-store_medium-car","Put the fan in the car.","ضع المروحة في السيارة.","Den Ventilator ins Auto stellen."
"gelato-eat-you","Eat the ice cream.","تناول الآيس كريم.","Essen Sie das Eis."
"glass-store_small-box_opened","Put the glass in the box.","ضع الكأس في الصندوق.","Stellen Sie das Glas in die Schachtel."
"glass-store_small-cupboard","Put the glass in the cupboard.","ضع الكأس في الخزانة.","Stellen Sie das Glas in den Schrank."
"glasses-put_on_accessoire-you","Put on the glasses.","ضع الكأس في الكوب.","Setzen Sie die Gläser auf."
"globe-move_furniture-apartment","Put the globe in the apartment.","ضع الكرة الأرضية في الشقة.","Stellen Sie den Globus in die Wohnung."
"hair_brush-brush-woman__hair__brunette","The brunette woman brushes her hair.","المرأة السمراء تمشط شعرها.","Die brünette Frau bürstet sich die Haare."
"hair_brush-brush-woman__hair__blonde","The blonde woman brushes her hair.","المرأة الشقراء تمشط شعرها.","Die blonde Frau bürstet sich die Haare."
"hair_dryer-dry_hair-man","The man dries his hair.","الرجل يجفف شعره.","Der Mann föhnt sich die Haare."
"hair_dryer-store_small-suitcase","Put the hair dryer in the suitcase.","ضع مجفف الشعر في الحقيبة.","Legen Sie den Haartrockner in den Koffer."
"hair_dryer-store_small-suitcase__color__white","Put the hair dryer in the white suitcase.","ضع مجفف الشعر في الحقيبة البيضاء.","Legen Sie den Haartrockner in den weißen Koffer."
"hair_dryer-store_small-suitcase__color__blue","Put the hair dryer in the blue suitcase.","ضع مجفف الشعر في الحقيبة الزرقاء.","Legen Sie den Haartrockner in den blauen Koffer."
"hammer-give-woman","Give the hammer to the woman.","أعط المطرقة للمرأة.","Geben Sie der Frau den Hammer."
"hammer-give-you","Take the hammer.","خذ المطرقة.","Nehmen Sie den Hammer."
"hand_pull-peel-banana","Peel the banana.","قشّر الموزة.","Schäle die Banane."
"hand_pull-pull-box_closed","Open the box.","افتح الصندوق.","Öffne die Schachtel."
"hand_pull-pet-cat","Pet the cat.","داعب القطة.","Streichle die Katze."
"hand_pull-pet-cat__color__grey","Pet the grey cat.","داعب القطة الرمادية.","Streichle die graue Katze."
"hand_pull-pet-cat__color__brown","Pet the brown cat.","داعب القطة البنية.","Streichle die braune Katze."
"hand_pull-pet-cat__color__white","Pet the white cat.","داعب القطة البيضاء.","Streichle die weiße Katze."
"hand_pull-pet-cat__color__black_white","Pet the black and white cat.","داعب القطة السوداء والبيضاء.","Streichle die schwarz-weiße Katze."
"hand_pull-pet-dog","Pet the dog.","داعب الكلب.","Streichle den Hund."
"hand_pull-pet-dog__size__big","Pet the big dog.","داعب الكلب الكبير.","Streichle den großen Hund."
"hand_pull-pet-dog__size__small","Pet the small dog.","داعب الكلب الصغير.","Streichle den kleinen Hund."
"hand_pull-pull-door_red_open","Close the door.","أغلق الباب.","Schließe die Tür."
"hand_pull-pull-mustang_closed","Open the car door.","افتح باب السيارة.","Öffne die Autotür."
"hand_push-push-box_opened","Close the box.","أغلق الصندوق.","Schließe die Schachtel."
"hand_push-push_open-door_red_closed","Open the door.","افتح الباب.","Öffne die Tür."
"hand_push-push-mustang_open","Close the car door.","أغلق باب السيارة.","Schließe die Autotür."
"hat-give-boy","Give the hat to the boy.","أعط القبعة للصبي.","Gib den Hut dem Jungen."
"hat-interact_clothes-coat_rack","Hang up the hat.","علّق القبعة.","Hängen Sie den Hut auf."
"hat-give-woman","Give the woman the hat.","أعط المرأة القبعة.","Geben Sie der Frau den Hut."
"hat-interact_clothes-you","Put on the hat.","ارتدي القبعة.","Setze den Hut auf."
"hat-give-you","Take the hat.","خذ القبعة.","Nimm die Mütze."
"honeymelon-store_small-shopping_cart","Put the honeydew melon in the shopping cart.","ضع البطيخة في عربة التسوق.","Lege die Honigmelone in den Einkaufswagen."
"honeymelon-eat-you","Eat the honeydew melon.","تناول البطيخة العسلية.","Essen Sie die Honigmelone."
"jam-store_small-cupboard","Put the jam in the cabinet.","ضع المربى في الخزانة.","Legen Sie die Marmelade in den Schrank."
"jam-store_small-shopping_cart","Put the jam in the shopping cart.","ضع المربى في عربة التسوق.","Lege die Marmelade in den Einkaufswagen."
"jeans-interact_clothes-clothes_line","Hang the jeans on the clothesline.","علّق الجينز على حبل الغسيل.","Hängen Sie die Jeans auf die Wäscheleine."
"jeans__color__dark_blue-interact_clothes-clothes_line","Hang the dark blue jeans on the clothesline.","علِّق الجينز الأزرق الداكن على حبل الغسيل.","Hängen Sie die dunkelblaue Jeans auf die Wäscheleine."
"jeans-interact_clothes-washing_machine","Wash the jeans. ","اغسل الجينز. ","Wasche die Jeans. "
"jeans__color__dark_blue-interact_clothes-washing_machine","Wash the dark blue jeans.","اغسل الجينز الأزرق الداكن.","Wasche die dunkelblaue Jeans."
"jeans-interact_clothes-you","Put on the jeans.","ارتدي الجينز.","Ziehe die Jeans an."
"jeans__color__dark_blue-interact_clothes-you","Put on the dark blue jeans.","ارتدي الجينز الأزرق الداكن.","Ziehen Sie die dunkelblaue Jeans an."
"jeans__color__light_blue-interact_clothes-clothes_line","Hang the light blue jeans on the clothesline.","علّق الجينز الأزرق الفاتح على حبل الغسيل.","Hängen Sie die hellblaue Jeans auf die Wäscheleine."
"jeans__color__light_blue-interact_clothes-washing_machine","Wash the light blue jeans.","اغسل الجينز الأزرق الفاتح.","Wasche die hellblaue Jeans."
"jeans__color__light_blue-interact_clothes-you","Put on the light blue jeans.","ارتدي الجينز الأزرق الفاتح.","Ziehen Sie die hellblaue Jeans an."
"key-give-man","Give the man the key.","أعط المفتاح للرجل.","Geben Sie dem Mann den Schlüssel."
"key-give-woman","Give the woman the key.","أعط المرأة المفتاح.","Geben Sie der Frau den Schlüssel."
"kiwi-put_in_bowl-bowl","Put the kiwi in the bowl.","ضع الكيوي في الوعاء.","Legen Sie die Kiwi in die Schüssel."
"kiwi-store_small-shopping_cart","Put the kiwi in the shopping cart.","ضع الكيوي في عربة التسوق.","Lege die Kiwi in den Einkaufswagen."
"kiwi-eat-you","Eat the kiwi.","تناول الكيوي.","Iss die Kiwi."
"knife-cut-apple","Cut the apple.","قطع التفاحة.","Schneide den Apfel."
"knife-cut-avocado","Cut the avocado.","قطع الأفوكادو.","Schneiden Sie die Avocado."
"knife-give-boy","Give the knife to the boy.","أعط السكين للولد.","Gib das Messer dem Jungen."
"knife-cut-broccoli","Cut the broccoli.","اقطع البروكلي.","Schneide den Brokkoli."
"knife-give-brothers","Give the knife to the brothers.","أعط السكين للأخوين.","Gib das Messer den Brüdern."
"knife-give-couple","Give the knife to the couple.","أعط السكين للزوجين.","Gib das Messer dem Paar."
"knife-give-family","Give the knife to the family.","أعط السكين للعائلة.","Geben Sie das Messer der Familie."
"knife-give-father_son","Give the knife to the father and son.","أعط السكين للأب والابن.","Geben Sie das Messer dem Vater und dem Sohn."
"knife-cut-honeymelon","Cut the honeydew melon.","قطع البطيخ بالعسل.","Schneiden Sie die Honigmelone."
"knife-cut-kiwi","Cut the kiwi.","اقطع الكيوي.","Schneide die Kiwi."
"knife-cut-lemon","Cut the lemon.","اقطع الليمون.","Schneiden Sie die Zitrone."
"knife-give-man","Give the man the knife.","أعط السكين للرجل.","Gib dem Mann das Messer."
"knife-cut-mango","Cut the mango.","اقطع المانجو.","Schneide die Mango."
"knife-cut-melon_whole","Cut the melon.","قطع البطيخ.","Schneide die Melone."
"knife-cut-onion","Cut the onion.","اقطع البصل.","Schneide die Zwiebel."
"knife-give-you","Take the knife.","خذ السكين.","Nimm das Messer."
"kufiyyeh-interact_clothes-clothes_line","Hang the keffiyeh on the clothesline.","علّق الكوفية على حبل الغسيل.","Hänge die Keffiyeh auf die Wäscheleine."
"kufiyyeh-interact_clothes-washing_machine","Wash the keffiyeh.","اغسل الكوفية.","Wasche die Keffiyeh."
"laptop-give-woman","Give the woman the laptop.","أعطِ المرأة الحاسوب المحمول.","Gib der Frau den Laptop."
"lemon-put_in_bowl-bowl","Put the lemon in the bowl.","ضع الليمون في الوعاء.","Lege die Zitrone in die Schüssel."
"lemon-store_small-shopping_cart","Put the lemon in the shopping cart.","ضع الليمون في عربة التسوق.","Lege die Zitrone in den Einkaufswagen."
"mango-put_in_bowl-bowl","Put the mango in the bowl.","ضع المانجو في الوعاء.","Lege die Mango in die Schüssel."
"mango-eat-you","Eat the mango.","تناول المانجو.","Essen Sie die Mango."
"melon_whole-store_small-shopping_cart","Put the melon in the shopping cart.","ضع البطيخ في عربة التسوق.","Lege die Melone in den Einkaufswagen."
"notebook-store_small-box_opened","Put the notebook in the box.","ضع الدفتر في الصندوق.","Lege das Notizbuch in die Schachtel."
"nutcracker-crack_nut-walnut","Crack the walnut.","اكسر الجوز.","Knacke die Walnuss."
"onion-put_in_bowl-bowl","Put the onion in the bowl.","ضع البصل في الوعاء.","Lege die Zwiebel in die Schüssel."
"pear-store_small-backpack","Put the pear in the backpack.","ضع الكمثرى في حقيبة الظهر.","Lege die Birne in den Rucksack."
"pear-eat-you","Eat the pear.","تناول الكمثرى.","Iss die Birne."
"pencil-write-notebook","Write in the notebook.","اكتب في الدفتر.","Schreibe in das Notizbuch."
"phone-give-brothers","Give the brothers the phone.","أعط الهاتف للإخوة.","Gib den Brüdern das Telefon."
"phone-give-couple","Give the family the phone.","أعط الهاتف للعائلة.","Geben Sie der Familie das Telefon."
"piano-move_furniture-apartment","Move the piano into the apartment.","انقل البيانو إلى الشقة.","Bringen Sie das Klavier in die Wohnung."
"pillow-put_in_bedding-bed","Put the pillow on the bed.","ضع الوسادة على السرير.","Lege das Kissen auf das Bett."
"pineapple-store_small-shopping_cart","Put the pineapple in the shopping cart.","ضع الأناناس في عربة التسوق.","Lege die Ananas in den Einkaufswagen."
"pizza-eat-you","Eat the pizza.","تناول البيتزا.","Iss die Pizza."
"pot_cactus-move_furniture-apartment","Put the cactus in the apartment.","ضع الصبار في الشقة.","Stellen Sie den Kaktus in die Wohnung."
"pot_flower-move_furniture-apartment","Put the flower in the apartment.","ضع الزهرة في الشقة.","Stellen Sie die Blume in die Wohnung."
"pot_plant-move_furniture-apartment","Put the potted plant in the apartment.","ضع أصيص النبات في الشقة.","Stellen Sie die Topfpflanze in die Wohnung."
"ring-give-couple","Give the couple the ring.","أعطِ الزوجين الخاتم.","Geben Sie dem Paar den Ring."
"ring-put_on_accessoire-you","Put on the ring.","ضع الخاتم.","Ziehen Sie den Ring an."
"shirt-store_small-backpack__color__blue","Put the shirt in the blue backpack.","ضع القميص في حقيبة الظهر الزرقاء.","Lege das Hemd in den blauen Rucksack."
"shirt-store_small-box_opened","Put the shirt in the box.","ضع القميص في الصندوق.","Lege das Hemd in die Schachtel."
"shirt-interact_clothes-clothes_line","Hang the shirt on the clothesline.","علق القميص على حبل الغسيل.","Hängen Sie das Hemd auf die Wäscheleine."
"shirt-store_small-suitcase__color__blue","Put the shirt in the blue suitcase.","ضع القميص في الحقيبة الزرقاء.","Lege das Hemd in den blauen Koffer."
"shirt-interact_clothes-washing_machine","Wash the shirt.","اغسل القميص.","Wasche das Hemd."
"shirt-interact_clothes-you","Put on the shirt.","ارتدِ القميص.","Ziehe das Hemd an."
"shoes-store_small-suitcase","Put the shoes in the suitcase.","ضع الحذاء في الحقيبة.","Lege die Schuhe in den Koffer."
"shoes-put_on_accessoire-you","Put the shoes on.","ارتدي الحذاء.","Ziehen Sie die Schuhe an."
"stool-move_furniture-apartment","Move the stool into the apartment.","انقل المقعد إلى الشقة.","Bringe den Hocker in die Wohnung."
"suitcase-store_medium-car","Put the suitcase in the car.","ضع الحقيبة في السيارة.","Lege den Koffer in das Auto."
"suitcase-store_medium-car__color__black","Put the suitcase in the black car.","ضع الحقيبة في السيارة السوداء.","Lege den Koffer in das schwarze Auto."
"suitcase__color__white-store_medium-car","Put the white suitcase in the car.","ضع الحقيبة البيضاء في السيارة.","Legen Sie den weißen Koffer in das Auto."
"suitcase__color__white-store_medium-car__color__black","Put the white suitcase in the black car.","ضع الحقيبة البيضاء في السيارة السوداء.","Lege den weißen Koffer in das schwarze Auto."
"suitcase-store_medium-car__color__blue","Put the suitcase in the blue car.","ضع الحقيبة في السيارة الزرقاء.","Legen Sie den Koffer in das blaue Auto."
"suitcase__color__white-store_medium-car__color__blue","Put the white suitcase in the blue car.","ضع الحقيبة البيضاء في السيارة الزرقاء.","Lege den weißen Koffer in das blaue Auto."
"suitcase-store_medium-car__color__green","Put the suitcase in the green car.","ضع الحقيبة في السيارة الخضراء.","Legen Sie den Koffer in das grüne Auto."
"suitcase__color__white-store_medium-car__color__green","Put the white suitcase in the green car.","ضع الحقيبة البيضاء في السيارة الخضراء.","Lege den weißen Koffer in das grüne Auto."
"suitcase-store_medium-car__color__orange","Put the suitcase in the orange car.","ضع الحقيبة في السيارة البرتقالية.","Lege den Koffer in das orangefarbene Auto."
"suitcase__color__white-store_medium-car__color__orange","Put the white suitcase in the orange car.","ضع الحقيبة البيضاء في السيارة البرتقالية.","Legen Sie den weißen Koffer in das orangefarbene Auto."
"suitcase-store_medium-car__color__pink","Put the suitcase in the pink car.","ضع الحقيبة في السيارة الوردية.","Lege den Koffer in das rosa Auto."
"suitcase__color__white-store_medium-car__color__pink","Put the white suitcase in the pink car.","ضع الحقيبة البيضاء في السيارة الوردية.","Lege den weißen Koffer in das rosa Auto."
"suitcase-store_medium-car__color__purple","Put the suitcase in the purple car.","ضع الحقيبة في السيارة البنفسجية.","Lege den Koffer in das lila Auto."
"suitcase__color__white-store_medium-car__color__purple","Put the white suitcase in the purple car.","ضع الحقيبة البيضاء في السيارة البنفسجية.","Lege den weißen Koffer in das lila Auto."
"suitcase-store_medium-car__color__red","Put the suitcase in the red car.","ضع الحقيبة في السيارة الحمراء.","Lege den Koffer in das rote Auto."
"suitcase__color__white-store_medium-car__color__red","Put the white suitcase in the red car.","ضع الحقيبة البيضاء في السيارة الحمراء.","Lege den weißen Koffer in das rote Auto."
"suitcase-store_medium-car__color__silver","Put the suitcase in the silver car.","ضع الحقيبة في السيارة الفضية.","Lege den Koffer in das silberne Auto."
"suitcase__color__white-store_medium-car__color__silver","Put the white suitcase in the silver car.","ضع الحقيبة البيضاء في السيارة الفضية.","Lege den weißen Koffer in das silberne Auto."
"suitcase-store_medium-car__color__white","Put the suitcase in the white car.","ضع الحقيبة في السيارة البيضاء.","Legen Sie den Koffer in das weiße Auto."
"suitcase__color__white-store_medium-car__color__white","Put the white suitcase in the white car.","ضع الحقيبة البيضاء في السيارة البيضاء.","Lege den weißen Koffer in das weiße Auto."
"suitcase-store_medium-car__color__yellow","Put the suitcase in the yellow car.","ضع الحقيبة في السيارة الصفراء.","Legen Sie den Koffer in das gelbe Auto."
"suitcase-store_medium-car__age__new","Put the suitcase in the new car.","ضع الحقيبة في السيارة الجديدة.","Legen Sie den Koffer in das neue Auto."
"suitcase__color__white-store_medium-car__color__yellow","Put the white suitcase in the yellow car.","ضع الحقيبة البيضاء في السيارة الصفراء.","Legen Sie den weißen Koffer in das gelbe Auto."
"suitcase__color__white-store_medium-car__age__new","Put the white suitcase in the new car.","ضع الحقيبة البيضاء في السيارة الجديدة.","Legen Sie den weißen Koffer in das neue Auto."
"suitcase-store_medium-car__age__old","Put the suitcase in the old car.","ضع الحقيبة في السيارة القديمة.","Legen Sie den Koffer in das alte Auto."
"suitcase__color__white-store_medium-car__age__old","Put the white suitcase in the old car.","ضع الحقيبة البيضاء في السيارة القديمة.","Legen Sie den weißen Koffer in das alte Auto."
"suitcase__color__blue-store_medium-car","Put the blue suitcase in the car.","ضع الحقيبة الزرقاء في السيارة.","Legen Sie den blauen Koffer in das Auto."
"suitcase__color__blue-store_medium-car__color__black","Put the blue suitcase in the black car.","ضع الحقيبة الزرقاء في السيارة السوداء.","Legen Sie den blauen Koffer in das schwarze Auto."
"suitcase__color__blue-store_medium-car__color__blue","Put the blue suitcase in the blue car.","ضع الحقيبة الزرقاء في السيارة الزرقاء.","Lege den blauen Koffer in das blaue Auto."
"suitcase__color__blue-store_medium-car__color__green","Put the blue suitcase in the green car.","ضع الحقيبة الزرقاء في السيارة الخضراء.","Lege den blauen Koffer in das grüne Auto."
"suitcase__color__blue-store_medium-car__color__orange","Put the blue suitcase in the orange car.","ضع الحقيبة الزرقاء في السيارة البرتقالية.","Lege den blauen Koffer in das orangefarbene Auto."
"suitcase__color__blue-store_medium-car__color__pink","Put the blue suitcase in the pink car.","ضع الحقيبة الزرقاء في السيارة الوردية.","Lege den blauen Koffer in das rosa Auto."
"suitcase__color__blue-store_medium-car__color__purple","Put the blue suitcase in the purple car.","ضع الحقيبة الزرقاء في السيارة البنفسجية.","Lege den blauen Koffer in das lila Auto."
"suitcase__color__blue-store_medium-car__color__red","Put the blue suitcase in the red car.","ضع الحقيبة الزرقاء في السيارة الحمراء.","Lege den blauen Koffer in das rote Auto."
"suitcase__color__blue-store_medium-car__color__silver","Put the blue suitcase in the silver car.","ضع الحقيبة الزرقاء في السيارة الفضية.","Legen Sie den blauen Koffer in das silberne Auto."
"suitcase__color__blue-store_medium-car__color__white","Put the blue suitcase in the white car.","ضع الحقيبة الزرقاء في السيارة البيضاء.","Lege den blauen Koffer in das weiße Auto."
"suitcase__color__blue-store_medium-car__color__yellow","Put the blue suitcase in the yellow car.","ضع الحقيبة الزرقاء في السيارة الصفراء.","Legen Sie den blauen Koffer in das gelbe Auto."
"suitcase__color__blue-store_medium-car__age__new","Put the blue suitcase in the new car.","ضع الحقيبة الزرقاء في السيارة الجديدة.","Legen Sie den blauen Koffer in das neue Auto."
"suitcase__color__blue-store_medium-car__age__old","Put the blue suitcase in the old car.","ضع الحقيبة الزرقاء في السيارة القديمة.","Legen Sie den blauen Koffer in das alte Auto."
"table-move_furniture-apartment","Move the table into the apartment.","انقل الطاولة إلى الشقة.","Bringen Sie den Tisch in die Wohnung."
"teddy-put_in_bedding-bed","Put the teddy on the bed.","ضع الدمية على السرير.","Legen Sie den Teddy auf das Bett."
"teddy-give-siblings","Give the teddy to the siblings.","أعط الدمية للأشقاء.","Geben Sie den Teddy den Geschwistern."
"teddy-give-sisters","Give the teddy to the sisters.","أعط الدمية للأخوات.","Gib den Teddy den Schwestern."
"toddler-put_child-bed","Put the toddler on the bed.","ضع الدمية على السرير.","Lege das Kleinkind auf das Bett."
"toddler-put_child-stroller","Put the toddler in the stroller.","ضع الطفل في عربة الأطفال.","Setze das Kleinkind in den Kinderwagen."
"towels_folded-store_small-backpack","Put the towels in the backpack.","ضع المناشف في حقيبة الظهر.","Lege die Handtücher in den Rucksack."
"toy-give-boy","Give the toy to the boy.","أعطِ اللعبة للولد.","Geben Sie das Spielzeug dem Jungen."
"toy-give-sisters","Give the toy to the sisters.","أعطِ اللعبة للأختين.","Gib das Spielzeug den Schwestern."
"tractor-drive_to-house","Drive the tractor to the house.","قُد الجرار إلى المنزل.","Fahre den Traktor zum Haus."
"truck-drive_to-house","The truck drives to the house.","قيادة الجرار إلى المنزل.","Der Lastwagen fährt zum Haus."
"truck-drive_to-parking_lot","Park the truck.","أوقف الشاحنة.","Parken Sie den Lkw."
"tuktuk-drive_to-parking_lot","Park the tuktuk.","أوقف التوكتوك.","Parke das Tuktuk."
"umbrella-store_medium-car","Put the umbrella in the car.","ضع المظلة في السيارة.","Lege den Regenschirm in das Auto."
"umbrella-store_medium-car__color__purple","Put the umbrella in the purple car.","ضع المظلة في السيارة البنفسجية.","Lege den Regenschirm in das lila Auto."
"umbrella-store_medium-car__color__red","Put the umbrella in the red car.","ضع المظلة في السيارة الحمراء.","Lege den Regenschirm in das rote Auto."
"vase-move_furniture-apartment","Put the vase in the apartment.","ضع المزهرية في الشقة.","Stellen Sie die Vase in die Wohnung."
"walnut_half-eat-you","Eat the walnut.","تناول الجوز.","Essen Sie die Walnuss."
"water_bottle-drink-you","Drink some water.","اشرب بعض الماء.","Trinke etwas Wasser."
"wedding_ring-store_small-box_opened","Put the wedding ring in the box.","ضع خاتم الزواج في الصندوق.","Legen Sie den Ehering in die Schachtel."
"woman-go_to-church","The woman goes to church.","تذهب المرأة إلى الكنيسة.","Die Frau geht in die Kirche."
"you-get_in-bus","Get in the bus.","اركب الحافلة.","Steigen Sie in den Bus."
"you-get_in-bus__size__big","Get in the big bus.","اركب الحافلة الكبيرة.","Steigen Sie in den großen Bus."
"you-get_in-bus__color__blue","Get in the blue bus.","اركب الحافلة الزرقاء.","Steigen Sie in den blauen Bus."
"you-get_in-car","Get in the car.","اركب السيارة.","Steigen Sie in das Auto."
"you-get_in-car__color__black","Get in the black clar.","اركب السيارة السوداء.","Steig in den schwarzen Bus."
"you-get_in-car__age__new","Get in the new car.","اركب السيارة الجديدة.","Steig in das neue Auto."
"you-go_to-church","Go to the church.","اذهب إلى الكنيسة.","Geh zur Kirche."
"you-go_to-flag_egypt","Go to the Egyptian flag.","اذهب إلى العلم المصري.","Geh zur ägyptischen Flagge."
"you-go_to-flag_germany","Go to the German flag.","اذهب إلى العلم الألماني.","Gehen Sie zur deutschen Flagge."
"you-go_to-flag_jordan","Go to the Jordanian flag.","اذهب إلى العلم الأردني.","Gehen Sie zur jordanischen Flagge."
"you-go_to-house","Go into the house.","اذهب إلى المنزل.","Gehen Sie in das Haus."
"you-get_in-plane","Board the plane.","اركب الطائرة.","Steigen Sie in das Flugzeug."
"you-get_in-taxi","Get in the taxi.","اركب سيارة الأجرة.","Steigen Sie in das Taxi."
"you-get_in-tractor","Get in the tractor.","اركب الجرار.","Steigen Sie in den Traktor."
"you-get_in-tuktuk","Get in the tuktuk.","اركب التوكتوك.","Steigen Sie in das Tuktuk."
